Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Aoxin Q & M,1D4,0.108,-1.57,55.219,27.968,,,Healthcare Services,82,-14.42
AP Oil,5AU,0.157,3.53,25.831,59.093,12.41,6.37,Chemicals,71,4.1
AP Strategic,5RA,0.002,-43.15,35.657,1.207,,,Cyclical Consumer Services,51,0.75
APAC Realty,CLN,0.62,21.3,220.223,719.253,6.29,12.1,Real Estate,81,24.87
Arion Ent,YYB,0.006,-61.8,5.604,0.931,,,Cyclical Consumer Services,66,5.08
Ascent Bridge,AWG,0.56,-17.43,50.446,9.567,,,Mineral Resources,46,-30.62
Asia Enterprises,A55,0.159,3.88,54.365,73.522,14.45,5.03,Mineral Resources,61,107.62
Asia Vets,5RE,0.043,-3.72,6.284,2.522,,,Healthcare Services,61,-36.36
AsiaPhos,5WV,0.015,-6.35,15.473,2.304,,,Chemicals,50,89.79
Asiatic,5CR,0.003,-29.68,5.225,39.665,,,Industrial Goods,67,1.45
ASL Marine,A04,0.049,-42.15,31.024,252.134,,,Industrial Goods,60,21.36
Aspen,1F3,0.039,-14.3,42.249,56.895,,,Real Estate,76,-34.55
Aspial Corp,A30,0.079,-0.07,171.555,469.522,,9.49,Cyclical Consumer Products,57,-5.48
Aspial Lifestyle,5UF,0.156,10.58,215.11,255.288,10.49,8.01,Retailers,72,-6.02
Astaka,42S,0.088,3.23,161.56,11.662,,,Real Estate,47,22.28
Atlantic Nav,5UL,0.105,10.68,54.969,78.769,5.37,,Energy - Fossil Fuels,57,32.38
Audience,1AZ,0.27,,45.414,,,4.67,Cyclical Consumer Services,52,
AusGroup,5GJ,0.009,-137.22,27.659,225.243,,,Energy - Fossil Fuels,52,25.63
Avarga,U09,0.23,14,218.533,2371.441,4.72,3.65,Cyclical Consumer Products,81,-1.85
Avi-Tech Hldg,1R6,0.265,,45.327,30.849,14.43,5.19,Technology Equipment,,5.15
AVJennings A$,A05,0.34,3.2,166.555,222.814,12.73,4.32,Real Estate,,-28.38
Axington,42U,0.19,-3.5,35.386,0,,,Industrial & Commercial Services,84,
Axington R,IXOR,0,,,,,,,,
Axington R1,QPQR,0,,,,,,,,
Azeus,BBW,7.9,33.65,237,40.295,27.4,3.13,Software & IT Services,59,22.98
Aztech Gbl,8AZ,0.825,,638.406,,,3.64,Industrial Goods,65,
B&M Hldg,CJN,2.96,58.58,24.45,10.001,,0.51,Banking & Investment Services,59,217.59
Baker Technology,BTP,0.65,5.29,131.871,86.25,12.16,0.77,Holding Companies,75,39.44
Ban Leong,B26,0.335,19.17,39.028,217.163,5.05,11.19,Technology Equipment,71,6.28
Banyan Tree,B58,0.355,-2.42,308.116,283.385,,,Cyclical Consumer Services,82,103.97
BBR,KJ5,0.118,8.41,38.316,175.994,4.84,2.54,Industrial & Commercial Services,66,11.9
Beng Kuang,BEZ,0.054,-38.39,10.757,54.221,,,Industrial & Commercial Services,67,10.49
Best World,CGN,2.45,30.96,1104.982,530.49,8.84,,Retailers,64,-11.61
Beverly JCG,VFP,0.001,-204.39,19.681,10.83,,,Healthcare Services,38,41.55
BH Global,BQN,0.13,7.2,39,47.869,10.39,3.85,Industrial Goods,60,7.49
Biolidics,8YY,0.022,,10.854,,,,Healthcare Services,64,
BlackGoldNatural,41H,0.006,,6.451,15.436,,,Energy - Fossil Fuels,66,-10.68
Boldtek,5VI,0.035,-12.52,12.378,53.382,,,Real Estate,57,-11.41
Bonvests,B28,0.905,2.93,363.373,167.639,14.8,0.83,Cyclical Consumer Services,67,51.8
Boustead,F9D,0.86,7.39,430.058,538.371,13,4.65,Industrial & Commercial Services,87,-26.89
Boustead Proj,AVM,0.94,3.35,300.8,277.692,22.48,0.21,Industrial & Commercial Services,81,-29.31
BRC Asia,BEC,1.82,25.79,502.278,1699.266,5.51,6.59,Cyclical Consumer Products,65,45.4
Broadway Ind,B69,0.108,17.07,50.967,488.435,3.34,9.26,Industrial Goods,45,16.04
Brook Crompton,AWC,0.67,6.54,23.757,54.966,9.17,2.99,Industrial Goods,75,19.43
Bukit Sembawang,B61,4.56,2.9,1180.634,210.059,28.02,0.88,Real Estate,62,-62.26
Bumitama Agri,P8Z,0.605,32.45,1063.307,1385.898,3.52,7.52,Food & Beverages,59,49.74
Bund Center,BTE,0.525,0.84,399.257,73.782,108.92,9.52,Real Estate,54,-9.11
Camsing Hc,BAC,1.07,,30.232,5.717,,,Retailers,44,
Capital World,1D5,0.005,149.79,9.046,1.207,,,Real Estate,53,41.41
CapitaLandInvest,9CI,3.87,,20136.367,2598,9.4,,Real Estate,99,
Captii,AWV,0.385,19.08,12.304,22.971,1.37,4.87,Telecommunications Services,48,2.96
Casa,C04,0.079,2.97,16.576,21.676,9.39,3.8,Cyclical Consumer Products,63,13.96
CDW,BXE,0.24,9.43,60.523,188.457,9.08,6.96,Technology Equipment,85,12.98
Centurion,OU8,0.355,11.9,298.476,168.818,3.88,2.11,Real Estate,84,33.46
CFM,5EB,0.098,16.29,19.75,26.851,10.46,,Industrial Goods,53,29.75
CH Offshore,C13,0.065,-6.51,45.831,23.88,,,Energy - Fossil Fuels,68,29.01
Charisma Energy,5QT,0.002,,26.007,17.998,,,Utilities,52,10.74
Chasen,5NV,0.056,3.05,21.777,161.746,11.18,,Transportation,61,3.47
